,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
789,male,group C,some high school,standard,1,62,50,57
790,female,group C,some college,standard,1,65,82,80
791,female,group E,high school,free/reduced,0,76,83,79
792,female,group B,high school,standard,0,54,71,64
793,male,group D,bachelor's degree,standard,1,72,69,73
794,male,group C,associate's degree,free/reduced,1,82,80,82
795,male,group B,some college,free/reduced,0,75,75,69
796,male,group E,bachelor's degree,standard,1,94,79,78
797,male,group B,high school,standard,1,81,86,76
798,male,group D,some college,standard,1,72,70,72
799,male,group C,some high school,standard,1,56,55,56
800,female,group C,high school,standard,0,76,74,71
801,male,group C,high school,standard,0,72,70,63
802,female,group A,associate's degree,standard,1,92,100,100
803,female,group C,some high school,standard,1,64,70,69
804,male,group B,master's degree,standard,0,65,64,62
805,female,group E,associate's degree,standard,1,100,100,100
806,male,group C,bachelor's degree,standard,1,55,54,56
807,female,group C,master's degree,free/reduced,1,50,76,80
808,female,group D,associate's degree,standard,0,90,100,100
809,male,group C,master's degree,free/reduced,0,57,45,50
810,male,group C,bachelor's degree,standard,0,85,69,66
811,male,group C,associate's degree,free/reduced,0,66,68,65
812,male,group C,associate's degree,free/reduced,0,61,54,55
813,male,group B,some high school,free/reduced,0,44,46,39
814,male,group C,associate's degree,free/reduced,0,64,62,62
815,female,group A,some college,standard,0,64,72,68
816,female,group D,bachelor's degree,standard,1,83,87,100
817,female,group D,some high school,standard,1,62,76,81
818,male,group B,some high school,standard,0,69,68,60
819,female,group D,some high school,standard,0,71,82,81
820,female,group D,associate's degree,standard,0,62,64,67
821,male,group B,master's degree,standard,0,79,72,68
822,female,group A,some college,standard,0,64,69,76
823,female,group B,bachelor's degree,free/reduced,0,64,78,82
824,male,group A,associate's degree,standard,0,65,63,66
825,female,group E,high school,standard,0,64,65,70
826,female,group D,associate's degree,standard,0,78,92,83
827,female,group B,associate's degree,standard,1,60,69,65
828,female,group B,some high school,free/reduced,0,31,41,37
829,male,group C,high school,standard,0,58,48,48
830,female,group D,some college,standard,1,65,74,78
831,female,group C,some college,standard,1,62,68,72
832,male,group A,some high school,standard,1,59,61,61
833,male,group B,some college,standard,1,80,78,73
834,female,group C,some college,standard,1,60,74,70
835,male,group C,bachelor's degree,free/reduced,0,52,67,58
836,female,group E,high school,standard,0,53,46,45
837,female,group C,high school,standard,0,49,59,58
838,male,group D,high school,standard,0,63,69,67
839,female,group A,bachelor's degree,standard,0,91,90,88
840,male,group C,associate's degree,standard,0,77,69,69
841,male,group C,associate's degree,standard,0,73,74,66
842,male,group E,some high school,standard,0,69,67,59
843,female,group C,some high school,standard,1,82,95,90
844,female,group C,high school,standard,1,69,73,73
845,male,group E,associate's degree,free/reduced,0,70,67,62
846,male,group C,bachelor's degree,standard,1,60,66,71
847,female,group E,high school,free/reduced,0,45,63,55
848,male,group B,bachelor's degree,standard,1,72,60,69
849,male,group C,high school,standard,0,75,72,66
850,female,group D,some high school,standard,1,59,71,73
851,male,group C,bachelor's degree,standard,1,79,82,89
852,male,group E,high school,standard,0,98,85,80
853,male,group E,high school,free/reduced,0,80,65,65
854,male,group C,some college,free/reduced,1,65,79,67
855,female,group B,some high school,standard,0,82,83,83
856,female,group D,some college,standard,0,66,71,73
857,male,group B,some college,standard,1,59,54,63
858,male,group A,some college,free/reduced,0,85,83,75
859,male,group D,master's degree,standard,0,70,64,63
860,male,group B,some high school,standard,0,59,42,46
861,female,group E,some high school,standard,0,75,75,76
862,male,group C,some college,free/reduced,0,66,80,66
863,female,group D,associate's degree,standard,0,86,100,96
864,male,group B,master's degree,standard,0,67,66,68
865,female,group B,associate's degree,free/reduced,0,47,45,51
866,male,group E,some college,standard,0,73,62,66
867,male,group C,high school,free/reduced,0,47,40,41
868,male,group B,high school,free/reduced,0,66,63,54
869,female,group E,bachelor's degree,free/reduced,0,66,74,70
870,male,group C,some high school,standard,1,66,61,58
871,male,group B,some high school,standard,0,74,68,62
872,female,group E,high school,free/reduced,1,71,73,68
873,male,group E,associate's degree,standard,0,78,74,71
874,female,group A,high school,standard,0,71,74,74
875,female,group B,high school,free/reduced,0,65,63,59
876,male,group C,master's degree,free/reduced,0,40,32,31
877,female,group E,high school,free/reduced,0,69,67,66
878,male,group E,associate's degree,standard,0,82,67,62
879,female,group D,some college,standard,0,75,71,81
880,male,group D,some college,standard,0,83,75,73
881,female,group D,some high school,standard,0,70,89,87
882,male,group E,high school,free/reduced,0,65,52,50
883,male,group E,some college,standard,0,90,86,80
884,male,group C,some high school,free/reduced,0,46,43,33
885,female,group C,some college,free/reduced,0,58,76,71
886,female,group D,some college,free/reduced,0,50,66,57
887,female,group D,associate's degree,standard,1,74,75,83
888,male,group B,some college,standard,0,97,80,79
889,male,group D,high school,free/reduced,0,64,51,47
890,male,group D,bachelor's degree,standard,1,70,67,69
891,female,group B,associate's degree,standard,0,61,76,81
892,female,group D,some college,free/reduced,0,48,56,55
893,female,group E,some college,standard,0,79,82,76
894,female,group E,associate's degree,standard,0,73,75,74
895,male,group C,some high school,free/reduced,1,84,79,82
896,male,group D,high school,free/reduced,1,60,64,61
897,male,group E,some college,standard,0,70,70,58
898,female,group E,some high school,standard,0,60,77,70
899,male,group B,high school,free/reduced,0,63,61,58
900,male,group E,high school,standard,1,72,60,55
901,female,group E,some high school,standard,1,65,75,74
902,male,group C,associate's degree,free/reduced,0,46,53,45
903,male,group D,some high school,free/reduced,0,61,55,53
904,female,group D,some college,free/reduced,0,74,92,80
905,female,group D,high school,free/reduced,0,46,47,47
906,female,group D,bachelor's degree,standard,0,83,81,82
907,male,group A,high school,standard,0,59,59,53
908,female,group B,bachelor's degree,free/reduced,1,58,59,65
909,female,group C,bachelor's degree,free/reduced,1,66,86,88
910,female,group C,some college,standard,0,60,72,78
911,female,group C,bachelor's degree,free/reduced,1,45,65,69
912,male,group D,high school,free/reduced,1,56,61,61
913,male,group E,associate's degree,free/reduced,1,69,66,62
914,female,group B,some high school,standard,0,64,77,77
915,male,group C,bachelor's degree,standard,0,64,63,63
916,male,group B,high school,standard,0,68,72,64
917,male,group E,master's degree,standard,1,85,89,84
918,female,group D,associate's degree,free/reduced,0,39,49,47
919,male,group A,associate's degree,free/reduced,0,86,79,78
920,male,group B,high school,free/reduced,1,76,80,72
921,female,group E,some college,free/reduced,0,60,63,69
922,female,group E,some high school,standard,1,82,90,90
923,male,group B,some high school,standard,0,64,54,52
924,female,group B,associate's degree,free/reduced,0,74,83,84
925,female,group B,associate's degree,free/reduced,1,56,69,68
926,female,group D,some high school,standard,0,88,93,91
927,female,group C,some college,standard,0,46,52,56
928,female,group C,associate's degree,free/reduced,0,71,92,91
929,male,group B,some high school,standard,1,66,66,62
930,female,group A,bachelor's degree,free/reduced,0,48,59,54
931,female,group D,associate's degree,standard,1,83,79,79
932,female,group C,bachelor's degree,free/reduced,1,69,82,87
933,male,group B,some college,standard,0,63,52,52
934,male,group A,bachelor's degree,free/reduced,0,59,55,52
935,female,group C,some high school,standard,0,56,66,59
936,male,group B,high school,free/reduced,1,65,71,63
937,female,group D,high school,free/reduced,0,64,71,65
938,female,group C,some college,standard,0,53,61,63
939,male,group C,bachelor's degree,standard,0,81,83,80
940,male,group A,some college,free/reduced,1,53,63,60
941,male,group B,high school,standard,0,67,59,57
942,male,group D,some high school,free/reduced,0,48,51,46
943,female,group E,master's degree,free/reduced,0,85,91,87
944,male,group C,associate's degree,standard,0,60,56,54
945,female,group A,high school,standard,0,54,52,50
946,female,group E,some high school,standard,0,87,87,88
947,male,group B,associate's degree,free/reduced,1,72,65,68
948,female,group D,some high school,standard,0,66,67,67
949,female,group C,high school,standard,0,65,73,73
950,female,group D,high school,standard,1,57,70,64
951,male,group E,some college,standard,1,89,81,79
952,male,group C,some high school,free/reduced,0,48,55,50
953,male,group B,associate's degree,standard,0,91,80,78
954,female,group D,some high school,free/reduced,0,19,24,22
955,female,group D,some high school,standard,0,66,75,71
956,female,group D,master's degree,standard,0,54,56,66
957,male,group E,bachelor's degree,standard,0,83,75,71
958,male,group D,master's degree,standard,1,100,97,97
959,male,group A,bachelor's degree,standard,0,50,50,47
960,male,group D,associate's degree,standard,0,72,70,68
961,male,group B,bachelor's degree,free/reduced,0,57,55,56
962,male,group B,associate's degree,standard,0,75,68,65
963,female,group E,bachelor's degree,free/reduced,1,84,89,93
964,male,group D,some college,standard,0,66,57,57
965,female,group E,some college,free/reduced,0,73,63,63
966,female,group C,some high school,free/reduced,0,51,56,59
967,female,group C,some college,standard,0,58,75,70
968,female,group C,associate's degree,standard,0,93,100,96
969,female,group B,associate's degree,standard,0,62,67,62
970,female,group D,high school,standard,0,78,87,89
971,female,group A,some college,standard,0,71,87,85
972,male,group D,associate's degree,standard,1,79,76,79
973,male,group E,some college,free/reduced,0,87,84,73
974,male,group A,some high school,standard,1,75,58,63
975,female,group E,associate's degree,free/reduced,0,59,63,60
976,male,group D,some high school,standard,0,75,72,65
977,female,group E,bachelor's degree,free/reduced,1,83,97,95
978,female,group C,associate's degree,free/reduced,0,51,63,59
979,male,group C,some high school,standard,1,38,36,40
980,female,group C,some college,standard,1,82,95,94
981,male,group C,high school,free/reduced,0,28,40,34
982,female,group B,associate's degree,free/reduced,0,72,85,83
983,male,group C,associate's degree,standard,0,87,81,76
984,male,group C,associate's degree,standard,1,64,63,58
985,male,group D,some college,standard,0,94,87,87
986,male,group B,some high school,free/reduced,0,55,52,52
987,female,group A,some high school,standard,1,68,74,71
988,female,group C,some high school,free/reduced,0,38,55,43
989,female,group C,some college,standard,0,67,76,78
990,female,group B,high school,free/reduced,1,61,79,74
991,female,group B,high school,standard,1,58,73,72
992,male,group C,master's degree,standard,0,85,71,66
993,male,group C,some high school,standard,1,64,63,59
994,male,group B,some high school,free/reduced,0,45,46,42
995,male,group A,master's degree,standard,1,93,84,86
996,male,group A,some college,standard,1,87,80,85
997,male,group C,high school,standard,1,74,70,62
998,male,group E,some college,standard,0,74,57,53
999,male,group E,high school,standard,1,98,97,89
0,female,group C,some college,standard,1,80,86,91
1,male,group E,bachelor's degree,standard,1,75,75,78
2,male,group C,some college,standard,0,67,76,69
3,male,group C,bachelor's degree,standard,0,65,57,57
4,male,group D,bachelor's degree,free/reduced,0,48,42,46
5,male,group A,bachelor's degree,standard,0,73,70,69
6,female,group B,high school,standard,0,48,64,57
7,male,group E,some college,free/reduced,1,71,64,56
8,female,group C,some college,standard,0,82,90,92
9,female,group A,some high school,standard,0,73,80,75
10,female,group C,bachelor's degree,free/reduced,0,81,93,91
11,female,group C,associate's degree,standard,1,66,74,78
12,male,group C,associate's degree,free/reduced,0,63,56,55
13,male,group C,bachelor's degree,standard,0,85,73,64
14,male,group B,some high school,free/reduced,0,46,43,35
15,female,group C,high school,standard,0,67,66,72
16,female,group D,some high school,standard,0,66,78,77
17,male,group E,some high school,free/reduced,1,58,64,55
18,male,group A,bachelor's degree,standard,1,100,98,99
19,female,group C,bachelor's degree,standard,1,68,78,87
20,female,group B,high school,free/reduced,0,64,68,67
21,male,group B,some high school,standard,1,56,51,51
22,female,group E,high school,standard,1,87,95,92
23,female,group D,high school,standard,0,60,64,67
24,female,group D,associate's degree,standard,0,41,49,44
25,female,group E,high school,standard,0,85,73,77
26,male,group C,associate's degree,standard,0,70,69,68
27,female,group D,high school,free/reduced,0,52,58,54
28,male,group A,high school,standard,0,49,53,54
29,female,group E,master's degree,standard,0,66,75,75
30,male,group D,master's degree,standard,0,64,68,71
31,male,group C,some college,free/reduced,0,51,55,49
32,female,group A,bachelor's degree,free/reduced,0,46,58,57
33,female,group D,associate's degree,standard,1,91,97,98
34,female,group A,some college,standard,1,84,95,93
35,male,group D,bachelor's degree,standard,1,100,100,100
36,male,group A,some college,free/reduced,1,74,72,73
37,female,group B,bachelor's degree,standard,1,79,87,98
38,male,group A,associate's degree,standard,0,87,84,81
39,male,group E,bachelor's degree,free/reduced,0,71,67,64
40,female,group D,associate's degree,standard,0,69,89,91
41,male,group B,bachelor's degree,standard,0,71,64,62
42,female,group D,associate's degree,free/reduced,0,59,66,70
43,male,group B,some high school,free/reduced,0,39,35,32
44,male,group E,some college,standard,0,92,85,83
45,female,group B,some college,standard,1,74,80,82
46,female,group C,some college,standard,0,82,84,88
47,female,group B,some high school,standard,0,59,74,69
48,male,group C,high school,standard,0,71,63,52
49,male,group D,some college,free/reduced,0,84,89,80
50,male,group D,associate's degree,standard,0,74,75,73
51,male,group B,high school,free/reduced,0,43,48,46
52,female,group C,high school,standard,1,74,78,81
53,male,group B,some college,standard,1,93,97,96
54,female,group D,bachelor's degree,standard,0,87,93,92
55,male,group D,associate's degree,free/reduced,1,71,79,76
56,male,group B,some college,standard,0,82,80,74
57,male,group D,some high school,standard,0,69,60,57
58,female,group B,master's degree,free/reduced,0,70,88,79
59,female,group B,some college,standard,0,86,94,92
60,female,group C,associate's degree,free/reduced,0,65,74,65
61,male,group A,bachelor's degree,free/reduced,0,83,79,77
62,male,group B,some college,free/reduced,1,62,62,60
63,female,group C,some high school,standard,0,58,67,58
64,female,group C,associate's degree,standard,0,84,89,93
65,female,group E,high school,standard,1,98,99,97
66,female,group B,bachelor's degree,free/reduced,1,72,93,96
67,male,group D,associate's degree,standard,1,84,76,76
68,female,group C,associate's degree,standard,0,53,67,73
69,female,group C,some college,standard,0,75,90,83
70,female,group A,master's degree,standard,1,86,93,93
71,female,group D,high school,standard,1,81,76,90
72,female,group D,associate's degree,free/reduced,0,46,60,60
73,male,group D,some high school,standard,0,67,61,58
74,female,group D,some college,free/reduced,1,71,83,82
75,male,group A,some high school,standard,1,66,57,62
76,male,group D,bachelor's degree,standard,1,82,71,79
77,male,group D,some college,standard,0,98,86,87
78,female,group C,associate's degree,standard,1,79,79,87
79,female,group E,bachelor's degree,free/reduced,1,81,100,100
80,female,group C,some college,standard,0,62,66,64
81,male,group A,high school,free/reduced,1,83,81,79
82,female,group A,some high school,free/reduced,0,53,65,64
83,male,group E,some high school,free/reduced,0,69,64,55
84,male,group E,bachelor's degree,free/reduced,0,96,87,85
85,male,group B,some high school,free/reduced,1,60,59,59
86,female,group D,some college,free/reduced,0,70,76,76
87,male,group D,bachelor's degree,standard,1,86,88,93
88,female,group A,some college,standard,0,72,75,71
89,female,group D,some college,free/reduced,0,64,81,79
90,female,group C,high school,free/reduced,0,54,66,58
91,male,group C,associate's degree,free/reduced,0,61,62,51
92,male,group C,high school,free/reduced,0,59,60,55
93,male,group C,high school,standard,1,55,56,57
94,female,group B,some high school,standard,0,56,63,62
95,female,group C,some high school,standard,0,49,67,63
96,female,group D,associate's degree,standard,0,71,85,79
97,male,group D,master's degree,standard,0,32,30,27
98,male,group E,some college,standard,0,80,74,72
99,female,group A,some high school,free/reduced,0,51,61,62
100,female,group B,some high school,standard,0,33,43,45
101,female,group C,some college,standard,0,50,55,59
102,female,group D,bachelor's degree,standard,0,77,85,83
103,male,group C,master's degree,free/reduced,0,54,53,42
104,male,group B,some college,standard,1,96,92,92
105,male,group C,some college,standard,0,68,63,57
106,male,group D,some college,standard,0,81,79,76
107,male,group C,high school,standard,0,47,45,40
108,male,group B,high school,free/reduced,1,82,78,75
109,female,group C,some college,standard,0,73,70,72
110,female,group C,some high school,free/reduced,1,51,62,68
111,male,group C,associate's degree,standard,0,75,61,64
112,female,group D,master's degree,standard,0,79,67,76
113,female,group C,high school,free/reduced,1,61,81,72
114,female,group B,bachelor's degree,free/reduced,0,57,69,63
115,female,group D,high school,standard,0,50,62,63
116,male,group A,some college,standard,0,60,47,52
117,male,group D,high school,standard,1,65,72,77
118,male,group E,high school,free/reduced,1,80,81,81
119,male,group C,master's degree,free/reduced,1,76,81,76
120,female,group D,high school,standard,0,81,92,88
121,male,group C,bachelor's degree,standard,0,78,79,74
122,male,group C,high school,free/reduced,1,57,57,61
123,female,group C,some college,free/reduced,1,38,54,54
124,female,group D,high school,standard,0,75,78,74
125,male,group C,associate's degree,standard,0,75,71,68
126,male,group C,associate's degree,free/reduced,0,50,52,47
127,female,group C,bachelor's degree,standard,0,66,80,84
128,male,group C,associate's degree,free/reduced,0,68,58,56
129,female,group E,some college,standard,1,65,77,79
130,female,group C,master's degree,standard,1,94,100,100
131,male,group B,high school,free/reduced,0,63,63,56
132,female,group D,some college,free/reduced,0,55,63,62
133,female,group C,some college,free/reduced,0,37,53,44
134,female,group A,associate's degree,free/reduced,0,57,62,64
135,male,group C,bachelor's degree,standard,1,97,92,94
136,male,group D,master's degree,free/reduced,1,72,68,73
137,male,group D,some college,standard,0,89,88,87
138,male,group B,high school,free/reduced,0,63,67,56
139,male,group C,some high school,standard,1,54,57,52
140,female,group D,high school,free/reduced,0,70,83,78
141,female,group C,associate's degree,free/reduced,1,69,84,88
142,male,group D,master's degree,standard,0,81,73,74
143,male,group D,some high school,standard,0,61,63,51
144,male,group C,high school,standard,0,59,56,52
145,male,group D,master's degree,standard,0,84,66,63
146,female,group D,high school,free/reduced,0,71,76,77
147,female,group B,some college,standard,0,69,85,89
148,female,group B,some college,standard,0,61,71,71
149,male,group B,high school,standard,0,64,62,65
150,male,group D,high school,standard,0,71,67,64
151,male,group D,some college,standard,1,73,71,69
152,female,group C,bachelor's degree,standard,0,71,87,86
153,female,group D,high school,standard,0,90,94,95
154,male,group E,high school,standard,0,96,87,88
155,male,group E,some high school,free/reduced,1,71,63,61
156,female,group D,associate's degree,standard,1,90,99,100
157,male,group B,associate's degree,standard,0,66,51,49
158,male,group C,associate's degree,free/reduced,0,61,64,60
159,male,group D,some high school,free/reduced,1,88,82,78
160,male,group B,associate's degree,standard,0,68,64,58
161,male,group C,bachelor's degree,standard,0,85,60,71
162,male,group C,high school,free/reduced,0,47,47,47
163,male,group D,associate's degree,free/reduced,1,75,66,70
164,female,group D,some high school,standard,0,57,61,58
165,female,group D,high school,standard,1,81,88,94
166,female,group E,high school,free/reduced,0,64,65,63
167,male,group D,some high school,standard,1,67,63,66
168,female,group D,some high school,standard,0,74,77,80
169,female,group D,high school,standard,1,77,82,88
170,male,group D,some high school,free/reduced,0,64,70,59
171,female,group B,bachelor's degree,standard,0,60,80,74
172,male,group C,bachelor's degree,standard,0,79,70,71
173,female,group D,high school,standard,0,56,74,73
174,male,group B,associate's degree,free/reduced,0,52,62,52
175,male,group C,some college,standard,0,77,80,76
176,female,group C,some high school,standard,1,55,68,66
177,female,group C,high school,standard,0,35,39,38
178,male,group E,bachelor's degree,standard,0,86,78,78
179,male,group C,some college,free/reduced,1,76,75,72
180,male,group D,high school,free/reduced,0,59,50,56
181,female,group D,high school,standard,0,75,82,86
182,male,group C,some high school,standard,0,55,41,41
183,female,group D,some high school,standard,0,69,70,72
184,male,group D,some college,standard,0,64,52,47
185,male,group E,some high school,free/reduced,1,54,58,55
186,male,group C,some college,standard,0,59,60,56
187,female,group D,associate's degree,free/reduced,1,55,56,65
188,female,group B,bachelor's degree,standard,0,50,50,51
189,female,group E,associate's degree,standard,1,59,63,65
190,male,group E,some high school,free/reduced,0,70,59,50
191,male,group B,some college,standard,0,68,67,57
192,female,group A,associate's degree,free/reduced,0,54,68,61
193,male,group D,some college,free/reduced,0,45,37,39
194,female,group C,some college,standard,0,62,68,69
195,female,group B,high school,free/reduced,0,48,68,60
196,female,group A,high school,standard,1,57,74,70
197,female,group E,high school,standard,1,86,88,92
198,male,group E,high school,standard,0,88,84,79
199,female,group D,some college,standard,0,64,74,75
200,male,group E,bachelor's degree,free/reduced,0,57,61,56
201,male,group D,associate's degree,standard,1,73,78,79
202,female,group C,some high school,free/reduced,0,56,66,66
203,female,group B,bachelor's degree,free/reduced,0,64,69,73
204,female,group A,some college,standard,0,63,71,74
205,female,group E,some high school,free/reduced,0,73,86,75
206,male,group B,associate's degree,standard,0,77,78,64
207,female,group C,master's degree,free/reduced,1,65,76,80
208,female,group C,master's degree,free/reduced,0,42,65,64
209,female,group A,some college,standard,0,63,57,60
210,female,group B,some college,free/reduced,0,49,69,60
211,female,group D,high school,standard,0,60,72,68
212,female,group C,some high school,standard,0,67,79,68
213,female,group C,some college,free/reduced,1,58,64,64
214,male,group B,master's degree,free/reduced,0,61,68,67
215,male,group E,associate's degree,standard,1,64,58,61
216,female,group B,bachelor's degree,standard,1,97,100,100
217,female,group D,bachelor's degree,standard,1,82,100,100
218,male,group B,some college,standard,1,61,63,56
219,female,group D,some college,free/reduced,0,73,75,73
220,female,group B,master's degree,standard,1,96,94,100
221,male,group C,some college,standard,0,66,73,69
222,female,group D,associate's degree,free/reduced,0,63,74,77
223,female,group E,master's degree,free/reduced,0,65,70,69
224,female,group C,high school,free/reduced,0,44,63,56
225,female,group D,associate's degree,standard,0,51,66,68
226,male,group C,some college,standard,1,83,82,83
227,female,group C,associate's degree,free/reduced,0,63,70,66
228,female,group A,master's degree,standard,0,90,96,96
229,female,group D,some high school,standard,0,67,79,79
230,male,group D,some college,free/reduced,0,48,44,45
231,female,group D,high school,standard,0,66,81,84
232,male,group D,some high school,standard,1,80,81,84
233,male,group C,associate's degree,standard,0,85,76,77
234,female,group C,associate's degree,standard,1,81,94,91
235,female,group D,some high school,standard,0,60,55,67
236,female,group C,master's degree,standard,0,65,70,79
237,male,group C,associate's degree,standard,0,60,50,52
238,female,group C,bachelor's degree,free/reduced,0,31,41,47
239,male,group C,some college,free/reduced,1,55,62,68
240,male,group D,high school,free/reduced,0,55,65,59
241,female,group C,some college,standard,1,66,82,83
242,male,group D,some college,standard,1,88,87,91
243,female,group B,associate's degree,free/reduced,0,45,49,48
244,female,group E,some high school,free/reduced,1,53,54,56
245,male,group A,some college,standard,0,69,65,68
246,female,group D,high school,standard,1,85,97,87
247,female,group C,some college,standard,1,76,83,89
248,male,group E,high school,standard,1,77,77,75
249,male,group C,some high school,standard,1,52,63,63
250,male,group E,associate's degree,standard,0,94,91,82
251,male,group D,master's degree,standard,1,94,82,91
252,male,group C,some college,standard,1,100,91,89
253,male,group E,some college,standard,1,74,72,73
254,male,group E,some college,standard,0,84,83,78
255,female,group E,associate's degree,standard,0,87,97,94
256,male,group C,associate's degree,free/reduced,0,50,45,38
257,female,group D,some college,standard,0,43,48,58
258,male,group D,some high school,standard,0,48,39,36
259,male,group D,high school,standard,0,89,87,83
260,female,group C,high school,standard,0,44,43,47
261,male,group D,bachelor's degree,standard,0,54,40,46
262,male,group D,high school,standard,0,91,72,71
263,male,group C,associate's degree,free/reduced,1,65,64,60
264,male,group D,associate's degree,free/reduced,0,69,58,58
265,male,group D,associate's degree,standard,0,74,64,64
266,male,group E,some college,standard,0,63,60,54
267,female,group C,some college,free/reduced,0,55,65,68
268,female,group C,bachelor's degree,standard,1,79,97,96
269,male,group B,high school,standard,0,54,51,55
270,male,group D,associate's degree,standard,0,76,67,72
271,male,group B,associate's degree,free/reduced,0,22,18,19
272,female,group D,some high school,standard,0,58,70,64
273,male,group B,some college,standard,0,50,54,46
274,male,group D,master's degree,free/reduced,0,62,59,64
275,male,group A,bachelor's degree,free/reduced,0,76,76,73
276,male,group B,high school,standard,0,76,72,67
277,male,group B,some high school,standard,0,72,59,67
278,male,group C,some high school,standard,0,80,77,67
279,female,group C,some high school,standard,1,75,87,93
280,female,group A,associate's degree,free/reduced,0,51,66,65
281,female,group D,associate's degree,standard,1,90,98,100
282,female,group D,some college,standard,0,54,59,59
283,male,group C,some college,standard,1,81,75,70
284,female,group C,high school,standard,0,61,65,61
285,female,group E,some high school,standard,0,97,100,99
286,male,group C,some college,free/reduced,0,59,68,59
287,male,group C,master's degree,standard,1,99,98,97
288,male,group E,some high school,standard,0,65,60,54
289,male,group C,some high school,standard,0,73,62,55
290,female,group C,some college,standard,0,70,82,73
291,male,group B,master's degree,standard,1,72,70,72
292,male,group D,some high school,free/reduced,1,43,47,47
293,female,group C,some high school,standard,1,52,79,75
294,female,group E,bachelor's degree,standard,0,84,79,78
295,female,group C,high school,standard,1,63,61,64
296,male,group C,some high school,standard,0,70,78,73
297,female,group B,high school,standard,1,79,81,81
298,male,group B,some college,standard,1,61,57,59
299,male,group B,some college,standard,1,83,84,82
300,male,group D,some college,standard,0,72,72,71
301,female,group E,associate's degree,standard,0,71,69,77
302,female,group D,master's degree,free/reduced,1,83,92,97
303,male,group A,some college,standard,0,73,68,67
304,male,group E,some college,standard,0,75,71,55
305,male,group E,associate's degree,standard,0,73,71,60
306,male,group A,high school,free/reduced,1,60,49,53
307,female,group D,bachelor's degree,standard,0,59,68,73
308,male,group A,associate's degree,standard,1,77,76,72
309,female,group D,some high school,free/reduced,0,65,78,75
310,male,group B,high school,free/reduced,0,54,51,51
311,male,group B,associate's degree,free/reduced,0,35,27,30
312,male,group C,high school,standard,0,69,62,58
313,male,group B,some college,free/reduced,0,54,48,45
314,male,group C,some college,standard,0,85,82,74
315,male,group A,high school,standard,0,57,54,50
316,male,group B,associate's degree,standard,0,77,74,68
317,female,group B,associate's degree,free/reduced,0,48,63,61
318,female,group D,some high school,standard,0,60,83,80
319,female,group C,high school,free/reduced,0,55,64,60
320,female,group E,some high school,free/reduced,0,76,86,78
321,male,group C,bachelor's degree,standard,0,70,70,67
322,male,group B,bachelor's degree,free/reduced,0,56,58,58
323,male,group C,high school,standard,0,92,88,78
324,female,group B,master's degree,standard,1,69,67,83
325,male,group B,associate's degree,standard,0,77,67,72
326,male,group C,some college,standard,0,55,55,45
327,female,group D,associate's degree,standard,0,70,77,80
328,male,group D,some college,standard,1,99,98,100
329,male,group C,bachelor's degree,free/reduced,1,82,76,78
330,male,group A,high school,free/reduced,0,64,60,57
331,male,group B,high school,standard,0,64,56,52
332,female,group B,associate's degree,standard,0,68,79,78
333,male,group D,bachelor's degree,standard,0,62,60,58
334,male,group E,associate's degree,standard,1,86,72,77
335,female,group A,associate's degree,free/reduced,0,37,50,50
336,male,group A,bachelor's degree,standard,0,65,62,57
337,female,group D,bachelor's degree,standard,0,65,76,77
338,female,group C,some college,free/reduced,1,40,53,57
339,male,group C,some high school,free/reduced,0,35,39,38
340,female,group C,master's degree,standard,1,71,92,93
341,male,group C,associate's degree,standard,0,47,38,33
342,female,group C,some high school,standard,0,59,68,61
343,male,group C,bachelor's degree,standard,0,50,54,49
344,male,group B,high school,standard,0,55,43,41
345,female,group E,associate's degree,free/reduced,1,75,82,85
346,male,group B,master's degree,free/reduced,1,76,71,70
347,female,group A,high school,standard,1,50,69,66
348,male,group A,some college,standard,0,51,51,50
349,female,group B,associate's degree,standard,0,77,81,83
350,female,group C,high school,free/reduced,0,32,41,40
351,male,group D,high school,free/reduced,0,35,35,29
352,female,group B,some college,standard,0,56,71,74
353,female,group B,some college,free/reduced,1,55,66,67
354,female,group D,high school,free/reduced,1,69,79,78
355,male,group B,some college,standard,1,82,75,80
356,male,group C,bachelor's degree,standard,0,44,45,41
357,male,group B,associate's degree,standard,0,70,60,58
358,male,group C,some college,standard,0,77,64,65
359,female,group C,high school,standard,0,69,87,80
360,male,group D,high school,standard,1,85,73,77
361,male,group C,some high school,free/reduced,1,56,64,56
362,male,group C,high school,free/reduced,1,66,54,56
363,female,group B,some college,free/reduced,1,67,79,82
364,male,group C,some college,standard,0,66,53,50
365,female,group E,bachelor's degree,standard,0,95,98,95
366,male,group C,master's degree,free/reduced,0,61,46,43
367,female,group C,high school,standard,1,88,94,94
368,male,group D,associate's degree,standard,1,81,73,76
369,female,group C,associate's degree,standard,0,64,73,70
370,male,group D,high school,standard,1,74,79,77
371,male,group D,associate's degree,standard,0,82,69,71
372,male,group C,high school,standard,0,72,63,67
373,male,group D,master's degree,standard,0,93,88,86
374,female,group D,high school,standard,0,79,95,80
375,female,group D,associate's degree,free/reduced,1,85,86,98
376,female,group B,master's degree,free/reduced,1,55,63,64
377,male,group C,bachelor's degree,standard,1,69,68,74
378,female,group E,high school,free/reduced,1,59,64,64
379,male,group C,associate's degree,free/reduced,1,55,68,64
